Original Sentence,Literal Translation,Pragmatic Translation,Category Detected
हाथ कंगन को आरसी क्या,Hand to bangle what mirror,"It's obvious, no need for proof",idiom
अब पछताए होत क्या जब चिड़िया चुग गई खेत,Now regret doing what when bird ate the farm,No use crying over spilt milk,idiom
उसने अपने हाथ धो लिए,He washed his hands,He gave up on the matter,idiom
क्या आप कृपया मुझे पानी दे सकते हैं?,What you kindly me water give can?,Would you what you kindly me water kindly give can?,polite
आपसे अनुरोध है कि कृपया शोर न करें,From you request is that please noise not make,Would you from you request is that please noise not make,polite
"मुझे खेद है, क्या आप यह काम कर सकते हैं?","Me sorry is, what you this work do can?","Me sorry is, what you this work do can?",polite
"वाह, क्या शानदार काम किया है तुमने!","Wow, what wonderful work done is by you!","Wow, what wonderful work done is by you! (said sarcastically)",sarcasm
"हाँ, बिल्कुल सही समय पर आए हो","Yes, absolutely right time on come are","Yes, absolutely right time on come are (said sarcastically)",sarcasm
मैं बैंक जा रहा हूँ,I bank go ing am,I bank go ing am (river bank or financial bank?),ambiguous
वह रोज़ लाइट जलाता है,He daily light burns,He daily light burns (light/lamp or brightness?),ambiguous
