sentence,literal_translation,contextual_translation,explanation,category
"हाथ कंगन को आरसी क्या","Hand to bangle what mirror","It's obvious, no need for proof","This is an idiom meaning something is self-evident. Literal translation makes no sense as it talks about bangles and mirrors.",idiom
"अब पछताए होत क्या जब चिड़िया चुग गई खेत","Now regret doing what when bird ate the farm","No use crying over spilt milk","This idiom means regretting after the opportunity is lost. Literal translation about birds eating farms doesn't convey the intended meaning.",idiom
"उसने अपने हाथ धो लिए","He washed his hands","He gave up on the matter","This idiom means to give up or abandon something. Literal translation suggests physical hand-washing which is completely different.",idiom
"क्या आप कृपया मुझे पानी दे सकते हैं?","What you kindly me water give can?","Could you please give me some water?","Polite requests use respectful words. Direct word-by-word translation loses the polite tone and sounds awkward.",polite
"आपसे अनुरोध है कि कृपया शोर न करें","From you request is that please noise not make","Would you kindly please keep the noise down?","This is a very polite way to ask someone to be quiet. Literal translation sounds mechanical and doesn't preserve the respectful tone.",polite
"मुझे खेद है, क्या आप यह काम कर सकते हैं?","Me sorry is, what you this work do can?","I'm sorry to bother you, but could you do this task?","Uses apology to make request more polite. Literal translation is grammatically broken and loses politeness nuance.",polite
"वाह, क्या शानदार काम किया है तुमने!","Wow, what wonderful work done is by you!","Great job messing this up! (said sarcastically after poor work)","Sarcasm uses positive words to mean the opposite. Without context, literal translation misses the negative intent completely.",sarcasm
"हाँ, बिल्कुल सही समय पर आए हो","Yes, absolutely right time on come are","Oh perfect timing! (said when someone arrives very late)","Appears to praise timing but actually criticizes lateness. Literal translation sounds like genuine praise, missing sarcastic tone.",sarcasm
"मैं बैंक जा रहा हूँ","I bank go ing am","I'm going to the bank (river bank or financial bank?)","The word 'bank' has multiple meanings. Without context, we don't know if it's a river bank or financial institution.",ambiguous
"वह रोज़ लाइट जलाता है","He daily light burns","He lights the lamp daily (not makes light burn)","'Light' could mean lamp/diya or making something burn. Context determines whether it's lighting a lamp or setting something on fire.",ambiguous
