query,ambiguous_word,possible_senses
I need to book a table for two tonight,book,"[""book.n.01"", ""book.n.02"", ""record.n.05"", ""script.n.01"", ""ledger.n.01"", ""book.n.06"", ""book.n.07"", ""koran.n.01"", ""bible.n.01"", ""book.n.10"", ""book.n.11"", ""book.v.01"", ""reserve.v.04"", ""book.v.03"", ""book.v.04""]"
She will book the tickets online,book,"[""book.n.01"", ""book.n.02"", ""record.n.05"", ""script.n.01"", ""ledger.n.01"", ""book.n.06"", ""book.n.07"", ""koran.n.01"", ""bible.n.01"", ""book.n.10"", ""book.n.11"", ""book.v.01"", ""reserve.v.04"", ""book.v.03"", ""book.v.04""]"
The bat flew out of the cave,bat,"[""bat.n.01"", ""bat.n.02"", ""squash_racket.n.01"", ""cricket_bat.n.01"", ""bat.n.05"", ""bat.v.01"", ""bat.v.02"", ""bat.v.03"", ""bat.v.04"", ""cream.v.02""]"
He bought a new cricket bat,bat,"[""bat.n.01"", ""bat.n.02"", ""squash_racket.n.01"", ""cricket_bat.n.01"", ""bat.n.05"", ""bat.v.01"", ""bat.v.02"", ""bat.v.03"", ""bat.v.04"", ""cream.v.02""]"
I deposited money in the bank yesterday,bank,"[""bank.n.01"", ""depository_financial_institution.n.01"", ""bank.n.03"", ""bank.n.04"", ""bank.n.05"", ""bank.n.06"", ""bank.n.07"", ""savings_bank.n.02"", ""bank.n.09"", ""bank.n.10"", ""bank.v.01"", ""bank.v.02"", ""bank.v.03"", ""bank.v.04"", ""bank.v.05"", ""deposit.v.02"", ""bank.v.07"", ""trust.v.01""]"
The river bank was eroded after the storm,bank,"[""bank.n.01"", ""depository_financial_institution.n.01"", ""bank.n.03"", ""bank.n.04"", ""bank.n.05"", ""bank.n.06"", ""bank.n.07"", ""savings_bank.n.02"", ""bank.n.09"", ""bank.n.10"", ""bank.v.01"", ""bank.v.02"", ""bank.v.03"", ""bank.v.04"", ""bank.v.05"", ""deposit.v.02"", ""bank.v.07"", ""trust.v.01""]"
Turn on the light in the hallway,light,"[""light.n.01"", ""light.n.02"", ""light.n.03"", ""luminosity.n.01"", ""light.n.05"", ""light.n.06"", ""light.n.07"", ""light.n.08"", ""light.n.09"", ""light.n.10"", ""sparkle.n.01"", ""light.n.12"", ""inner_light.n.01"", ""light.n.14"", ""lighter.n.02"", ""light.v.01"", ""light_up.v.05"", ""alight.v.01"", ""ignite.v.01"", ""fall.v.20"", ""unhorse.v.01"", ""light.a.01"", ""light.a.02"", ""light.a.03"", ""light.a.04"", ""light.a.05"", ""light.a.06"", ""unaccented.s.02"", ""light.s.08"", ""light.s.09"", ""clean.s.03"", ""light.s.11"", ""light.s.12"", ""light.a.13"", ""light.a.14"", ""faint.s.04"", ""light.s.16"", ""abstemious.s.02"", ""light.s.18"", ""light.s.19"", ""light.s.20"", ""idle.s.04"", ""light.s.22"", ""light.s.23"", ""light.s.24"", ""easy.s.10"", ""lightly.r.02""]"
That idea is light and refreshing,light,"[""light.n.01"", ""light.n.02"", ""light.n.03"", ""luminosity.n.01"", ""light.n.05"", ""light.n.06"", ""light.n.07"", ""light.n.08"", ""light.n.09"", ""light.n.10"", ""sparkle.n.01"", ""light.n.12"", ""inner_light.n.01"", ""light.n.14"", ""lighter.n.02"", ""light.v.01"", ""light_up.v.05"", ""alight.v.01"", ""ignite.v.01"", ""fall.v.20"", ""unhorse.v.01"", ""light.a.01"", ""light.a.02"", ""light.a.03"", ""light.a.04"", ""light.a.05"", ""light.a.06"", ""unaccented.s.02"", ""light.s.08"", ""light.s.09"", ""clean.s.03"", ""light.s.11"", ""light.s.12"", ""light.a.13"", ""light.a.14"", ""faint.s.04"", ""light.s.16"", ""abstemious.s.02"", ""light.s.18"", ""light.s.19"", ""light.s.20"", ""idle.s.04"", ""light.s.22"", ""light.s.23"", ""light.s.24"", ""easy.s.10"", ""lightly.r.02""]"
They lit a match to start the campfire,match,"[""match.n.01"", ""match.n.02"", ""match.n.03"", ""match.n.04"", ""match.n.05"", ""catch.n.03"", ""peer.n.01"", ""couple.n.02"", ""match.n.09"", ""match.v.01"", ""match.v.02"", ""match.v.03"", ""equal.v.02"", ""match.v.05"", ""meet.v.06"", ""match.v.07"", ""pit.v.01"", ""match.v.09"", ""equal.v.03""]"
The tennis match lasted three hours,match,"[""match.n.01"", ""match.n.02"", ""match.n.03"", ""match.n.04"", ""match.n.05"", ""catch.n.03"", ""peer.n.01"", ""couple.n.02"", ""match.n.09"", ""match.v.01"", ""match.v.02"", ""match.v.03"", ""equal.v.02"", ""match.v.05"", ""meet.v.06"", ""match.v.07"", ""pit.v.01"", ""match.v.09"", ""equal.v.03""]"
We saw a spring bubbling from the ground,spring,"[""spring.n.01"", ""spring.n.02"", ""spring.n.03"", ""spring.n.04"", ""give.n.01"", ""leap.n.01"", ""jump.v.01"", ""form.v.03"", ""bounce.v.01"", ""spring.v.04"", ""spring.v.05""]"
